PID	Status	Label
-	0	com.apple.ScreenReaderUIServer
542	0	com.apple.newsd
-	0	com.apple.systemsettingsagent
422	0	com.apple.swcd
604	0	com.apple.AirPlayUIAgent
67746	0	com.apple.managedcorespotlightd.01F6710A-E894-DA7E-C8D8-345EBED91E70
2754	0	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.shazamd
-	0	com.alfred.session-size-guard
479	0	com.apple.corespotlightd
568	0	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
453	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
2547	255	com.apple.Spotlight
681	0	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
1017	0	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
1365	0	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
571	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
-	0	com.apple.cvmsCompAgent3600_arm64
-	0	com.apple.WorkflowKit.ShortcutsViewService
370	0	com.apple.carboncore.csnameddata
518	0	com.apple.contactsd
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
351	0	com.apple.distnoted.xpc.agent
1090	0	com.apple.SetStoreUpdateService
516	0	com.apple.geod
